id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12496118,Entire Home in NYC- 1 bedroom,11305944,Yahaira,Bronx,Allerton,40.86946912,-73.85993497,Entire home/apt,105,3,27,9/16/17,1.56,3,47
13109017,Large Private Room! w. Lock,72871708,Sammy,Bronx,Allerton,40.86521252,-73.86768103,Private room,45,2,9,9/24/17,0.56,1,360
9513511,"Beautiful, spacious & sunny bedroom!",49293611,Gloria,Bronx,Allerton,40.85753243,-73.86605467,Private room,70,7,5,9/29/17,0.33,1,364
19174868,Bronx Apartment for travellers,134100451,Vitalis,Bronx,Allerton,40.86758804,-73.86852971,Shared room,65,3,0,,,1,180
10801360,Studio near BX Botanical Garden,4149899,Salam,Bronx,Allerton,40.85959069,-73.8700668,Entire home/apt,90,3,1,9/7/16,0.08,2,365
8294259,Room in Private House(Queen Bed) by Montefiore-NYC,11305944,Yahaira,Bronx,Allerton,40.86788703,-73.8599937,Private room,63,2,23,9/2/17,0.93,3,66
182177,PRIVATE FLAT / APARTMENT- $SPECIAL$,873273,Christian & Carla,Bronx,Allerton,40.86465805,-73.85708739,Entire home/apt,125,2,224,10/2/17,3.02,4,330
17876530,Spacious Garden Apartment,11305944,Yahaira,Bronx,Allerton,40.86868176,-73.85482829,Entire home/apt,110,3,22,9/22/17,3.73,3,170
5046189,Bellissima!,23732730,Buddy,Bronx,Allerton,40.87054097,-73.84680709,Entire home/apt,200,1,38,9/4/17,1.19,3,351
773041,Nice beautiful room In the Bronx,3684360,Enrique,Bronx,Allerton,40.85913782,-73.86979422,Private room,38,2,93,8/26/17,1.59,5,327
755528,PRIVATE BATH/TONS OF SUNLIGHT/SAFE,3684360,Enrique,Bronx,Allerton,40.85839659,-73.86968575,Entire home/apt,49,2,108,9/17/17,1.8,5,293
3429765,Sunny Private Room,16286162,Pat,Bronx,Allerton,40.86688872,-73.85775618,Private room,43,2,66,8/25/17,1.77,4,276
9331257,Convenient couch to crash on in BX,4149899,Salam,Bronx,Allerton,40.85872807,-73.86996826,Shared room,35,2,8,7/30/16,0.36,2,365
5647069,THE SINGLE ROOM by F&J,873273,Christian & Carla,Bronx,Allerton,40.86666784,-73.85634556,Private room,85,2,4,9/9/17,0.13,4,337
4462008,Twin  room,16286162,Pat,Bronx,Allerton,40.86814417,-73.85874498,Private room,44,2,75,9/24/17,2.33,4,339
20449125,A Perfect NYC Getaway. Clean & Spacious. Near Allâù_,10725461,Jimmy,Bronx,Allerton,40.85929298,-73.86960686,Entire home/apt,109,2,5,9/28/17,4.05,1,122
6292515,Big private room 15m to Manhattan,690405,Santiago,Queens,Ditmars Steinway,40.77178711,-73.89879851,Private room,40,7,1,8/18/15,0.04,1,0
19242246,Spacious & Cozy One bedroom Apt,28840702,Mariselle,Queens,Ditmars Steinway,40.77422406,-73.89833002,Entire home/apt,120,1,5,9/17/17,1.49,1,85
16860045,2 bedroom close to nyc Wifi,97127885,Concetta,Queens,Ditmars Steinway,40.76813844,-73.89573491,Entire home/apt,52,1,17,10/1/17,1.98,1,273
13822852,NYC Astoria!,23436785,Cristy,Queens,Ditmars Steinway,40.7740718,-73.90037282,Entire home/apt,200,3,0,,,1,360
8079482,Great apartment on lovely street,29155779,Andreas,Queens,Ditmars Steinway,40.77165365,-73.90177064,Entire home/apt,130,1,39,9/17/17,1.62,1,335
3043548,Pravate 1 bedroom apartment,5871260,Inna,Queens,Ditmars Steinway,40.7727588,-73.9022083,Entire home/apt,100,3,9,10/29/16,0.23,1,212
13040683,Airy livingroom in quiet restaurant neighborhood !,28868609,John,Queens,Ditmars Steinway,40.77266352,-73.90267799,Shared room,100,1,1,5/23/16,0.06,1,0
5232121,".Safe, cozy & minutes to NYC",3339701,Angelo,Queens,Ditmars Steinway,40.77775897,-73.91612174,Private room,55,1,61,9/11/17,1.98,4,331
21055320,15-20 Minute Subway Ride to Times Square,151683441,Ricardo,Queens,Ditmars Steinway,40.77838596,-73.90865815,Private room,100,3,0,,,1,31
20269743,"Charming Bright Astoria Room, close to Ditmar",68724048,Sol,Queens,Ditmars Steinway,40.77772545,-73.90718864,Private room,35,1,3,8/15/17,1.64,1,0
21077625,Astoria Expansive and Glowing 2-bedroom Treasure,151917172,Bryan,Queens,Ditmars Steinway,40.77894502,-73.92123903,Private room,97,3,1,9/30/17,1,2,146
9505762,PRIVATE ONE BEDROOM APARTMENT,35888212,Nancy,Queens,Ditmars Steinway,40.77573101,-73.91280258,Private room,50,1,77,8/9/17,3.58,1,184
20034264,Cozy room in a quiet chic and safe neighborhood,142083100,San,Queens,Ditmars Steinway,40.77629475,-73.9198627,Private room,40,2,0,,,1,0
3644017,Cute & cozy room in Astoria,5909599,Danica,Queens,Ditmars Steinway,40.77590933,-73.91450139,Private room,100,1,18,8/22/17,0.46,1,353
15716189,Comfy private room in great Astoria neighborhood,18192996,Jessica And Danny,Queens,Ditmars Steinway,40.77849854,-73.91692551,Private room,55,1,5,3/12/17,0.44,2,0
17624190,*SPECIAL*  NEW APARTMENT,100656374,Steve,Queens,Ditmars Steinway,40.78303908,-73.91782973,Entire home/apt,115,3,17,9/26/17,2.77,1,334
9859181,2 bed/3 bed with parking,10237786,Livia,Queens,Ditmars Steinway,40.7827439,-73.91317926,Entire home/apt,220,3,51,9/30/17,2.67,1,305
9825967,Economical One Bedroom Apt in NYC!,50603026,Paulo,Queens,Ditmars Steinway,40.77604946,-73.90773738,Entire home/apt,85,1,100,9/13/17,4.52,1,336
14788009,Chris' Cozy Cave!,69029231,Chris,Queens,Ditmars Steinway,40.78030632,-73.91003014,Entire home/apt,95,3,31,9/30/17,2.42,1,244
17889021,Charming 1 Br apartment minutes from the train,17739345,Boris,Queens,Ditmars Steinway,40.77872126,-73.90943308,Entire home/apt,89,1,0,,,1,0
14021937,Sunny charming prewar 1 bedroom 2 blocks to train,57394835,Matthew,Queens,Ditmars Steinway,40.77902817,-73.91070906,Entire home/apt,100,3,29,9/15/17,2,1,311
13927922,Gorgeous and Cosy Studio in Astoria!,82740389,Vanessa,Queens,Ditmars Steinway,40.7802781,-73.9147655,Entire home/apt,90,3,5,9/18/16,0.34,1,0
12147125,Beautiful & spacious 2-bedroom Astoria retreat,24822059,Jessica,Queens,Ditmars Steinway,40.77814101,-73.90660708,Entire home/apt,130,2,3,9/6/16,0.17,2,0
10685496,"Cozy shared space, heart of Astoria",18192996,Jessica And Danny,Queens,Ditmars Steinway,40.77939945,-73.91645848,Shared room,22,1,14,12/12/16,0.7,2,0
8391132,NYC La Guardia Master Room,44213272,Gema,Queens,Ditmars Steinway,40.77229137,-73.91627886,Private room,55,1,62,9/20/17,2.5,5,358
8393016,HOME SWEET HOME COZY ROOM,44213272,Gema,Queens,Ditmars Steinway,40.77449437,-73.91505303,Private room,45,1,60,9/18/17,2.42,5,197
13427702,Cozy Room for 2 in Astoria!,11791633,Neel,Queens,Ditmars Steinway,40.77436947,-73.91854314,Private room,65,1,1,7/13/16,0.07,1,0
7859360,Cozy and Private Room in Heart of Astoria,27289814,Raheem,Queens,Ditmars Steinway,40.77483018,-73.91699767,Private room,65,1,48,9/28/17,1.85,1,290
16827715,Private One Bedroom/5 min. walk to train,82339249,Monica,Queens,Ditmars Steinway,40.77234808,-73.91789432,Private room,85,5,3,9/4/17,0.58,1,84
3929317,Comfy room minutes from Manhattan!,20356268,Kristin,Queens,Ditmars Steinway,40.77317275,-73.91689652,Private room,54,2,70,9/17/17,1.87,1,0
13330683,NYC From Astoria Queens,75443454,Ana,Queens,Ditmars Steinway,40.77293495,-73.91846435,Private room,100,3,24,9/25/17,1.55,2,321
8444555,NYC Astoria affordable private room,44213272,Gema,Queens,Ditmars Steinway,40.77371721,-73.91450245,Private room,40,1,66,9/5/17,2.67,5,349
13167611,1BR 20 minutes from Manhattan!,15430149,Ivette,Queens,Ditmars Steinway,40.77366724,-73.91596534,Private room,92,2,0,,,1,0
8316959,Sun-soaked Oasis in Astoria.,41817016,G. Angela,Queens,Ditmars Steinway,40.77187926,-73.91554672,Private room,200,1,5,9/3/17,0.2,1,89
11192104,Charming Cozy Master Room @ Ditmars,58258354,Angelia,Queens,Ditmars Steinway,40.77346717,-73.91736605,Private room,75,1,0,,,2,0
12956315,Room in 2BR Astoria apt (20min to Central Park),5226800,Katie,Queens,Ditmars Steinway,40.77373675,-73.91903128,Private room,100,5,0,,,1,0
17234796,Astoria 2BR in Quiet Corner Close to Manhattan,261608,Aron,Queens,Ditmars Steinway,40.77199953,-73.91847714,Entire home/apt,60,1,2,2/26/17,0.26,1,0
764052,1 Bedroom Apartment in quiet area.,2618273,Sabrina,Queens,Ditmars Steinway,40.7746605,-73.91807087,Entire home/apt,390,3,1,12/27/16,0.11,1,15
4357134,Beautiful NY Gem,7809661,Mamie,Queens,Ditmars Steinway,40.77171541,-73.91768836,Entire home/apt,200,1,0,,,1,0
12972200,The best of Astoria,71378038,Maya,Queens,Ditmars Steinway,40.77687586,-73.92782892,Entire home/apt,125,6,3,9/19/17,0.21,2,112
3250448,Clean and Modern Apartment in Calm Area.,16441089,Juan,Queens,Ditmars Steinway,40.77718327,-73.92675945,Entire home/apt,89,7,134,8/27/17,3.42,1,166
8365172,BEST Location in Heart of Astoria!!,44089351,Cristiano,Queens,Ditmars Steinway,40.7746896,-73.90727889,Private room,45,1,119,10/1/17,4.79,1,345
21093522,THE GARDEN ROOM,82021863,Rosen,Queens,Ditmars Steinway,40.77159835,-73.91064285,Private room,129,1,0,,,1,177
1046443,"Beautiful & spacious apartment in Astoria, Queens",5760970,Chris,Queens,Ditmars Steinway,40.77117072,-73.90426986,Private room,200,1,8,10/2/17,3.64,2,350
6480685,"Cozy,  single bed room.15min to NYC",24597265,Freda,Queens,Ditmars Steinway,40.77208837,-73.91082047,Private room,45,6,16,7/25/17,0.63,8,324
19979903,Jolly Bedroom! 3 minute walk to Astoria Ditmars!,135845936,Claire,Queens,Ditmars Steinway,40.7723311,-73.9109978,Private room,75,3,1,8/20/17,0.67,1,0
11625684,Astoria Suite - 20min to Manhattan,1172202,Funda,Queens,Ditmars Steinway,40.77123157,-73.9093173,Private room,100,1,58,9/14/17,3.11,6,129
20689638,LARGE PRIVATE ROOM CLOSE TO MANHATTAN,139357580,Shuly,Queens,Ditmars Steinway,40.77340495,-73.90857055,Private room,125,1,3,9/15/17,2.73,8,331
11641041,3 Bedrooms - Spacious & Close to Subway!,7693749,Evan,Queens,Ditmars Steinway,40.77309999,-73.91245981,Entire home/apt,188,6,64,9/8/17,3.58,2,88
18159825,Astoria's simple studio,23187808,Theodore,Queens,Ditmars Steinway,40.77412269,-73.90609628,Entire home/apt,99,1,21,10/1/17,3.68,1,238
15530531,Apartment in Heart of Astoria Step to the Train!!!,17337288,Dean,Queens,Ditmars Steinway,40.77462345,-73.90773896,Entire home/apt,125,1,9,7/13/17,0.79,1,353
7927466,"A Little Apple Tree House, Astoria",3125683,Dega,Queens,Ditmars Steinway,40.77273347,-73.91129999,Entire home/apt,150,2,38,9/4/17,1.47,1,337
8741446,"Clean, inviting apt.15min to NYC",24597265,Freda,Queens,Ditmars Steinway,40.77057778,-73.91091263,Entire home/apt,181,6,35,9/26/17,1.64,8,108
19875244,Spacious and quiet bedroom,34609436,Stella,Queens,Ditmars Steinway,40.77375302,-73.9110422,Private room,55,1,10,9/27/17,5.45,1,96
239733,Astoria Garden Suite,1256874,Nancy,Queens,Ditmars Steinway,40.77679442,-73.91686689,Entire home/apt,68,28,41,8/28/17,0.57,1,316
10735397,Modern Two bedroom in Astoria,24084263,Marco,Queens,Ditmars Steinway,40.76893074,-73.90110386,Entire home/apt,110,30,16,5/8/17,0.89,1,71
10789911,One Bedroom in Astoria,32003714,Christopher,Queens,Ditmars Steinway,40.77567386,-73.92202286,Private room,80,7,1,4/7/17,0.09,1,363
15336336,"Clean, Bright 1BD in Trendy Astoria",97768365,Christina,Queens,Ditmars Steinway,40.77011771,-73.91134431,Entire home/apt,150,1,23,9/30/17,2.05,1,60
8783113,COZY near the Big City Room 1,10314085,Sergio,Queens,Ditmars Steinway,40.77604686,-73.90989793,Private room,65,5,5,8/29/16,0.21,2,174
6950074,"Beautiful, Cozy Apartment",6434434,Jenna,Queens,Ditmars Steinway,40.77890459,-73.90688293,Entire home/apt,110,2,12,9/3/17,0.45,1,14
13512004,"Big and bright bedroom in Astoria, Queens!",24822059,Jessica,Queens,Ditmars Steinway,40.77686257,-73.90830691,Private room,65,2,6,9/17/17,0.38,2,0
20459144,"Spacious, Sunny room in the heart of Astoria",140944881,Callen,Queens,Ditmars Steinway,40.77061585,-73.90633669,Private room,50,2,4,9/9/17,2.86,1,0
2896760,"Safe, cozy & minutes to NYC",3339701,Angelo,Queens,Ditmars Steinway,40.77503323,-73.91881637,Private room,60,1,97,9/1/17,2.33,4,342
6043315,Cozy Private Red Room in Astoria,11050098,Xiao,Queens,Ditmars Steinway,40.76897614,-73.89957469,Private room,40,1,199,9/17/17,6.66,2,351
19019592,Amazing 2 Bed. - 10 Min. to Midtown Manhattan!,132714678,Ed,Queens,Ditmars Steinway,40.77473954,-73.91136471,Entire home/apt,133,1,1,9/12/17,1,2,336
19282178,Astoria Two Bed and Kitchen Minutes from subway,131392140,Vik,Queens,Ditmars Steinway,40.77457609,-73.92195468,Entire home/apt,165,1,14,9/24/17,4.16,2,74
13388649,New & Spacious Private Home - 15m to Manhattan,1544804,Michelle,Queens,Ditmars Steinway,40.7813454,-73.90786078,Entire home/apt,95,1,78,9/19/17,5.74,1,205
8143851,Huge Beautiful Bedroom - Astoria,42999189,Kevin,Queens,Ditmars Steinway,40.77655512,-73.91851249,Private room,80,1,0,,,1,0
20857712,"Quiet Bdrm close to LGA.  Shower/tub, Cat.",38862694,Sarah,Queens,Ditmars Steinway,40.77170732,-73.90820209,Private room,46,1,0,,,2,28
1209955,The Green Room: Start Your Adventure Here,3007815,Alia,Queens,Ditmars Steinway,40.77146569,-73.91660095,Private room,69,1,67,9/20/17,1.27,2,281
9698613,"1 Bedroom Sublet in Astoria, NY",50084376,Asijah,Queens,Ditmars Steinway,40.77472268,-73.90993071,Private room,35,1,2,1/5/16,0.09,1,0
16147471,Quality space at a Great price,24825969,Tony,Queens,Ditmars Steinway,40.78065376,-73.9133167,Shared room,49,1,0,,,3,89
20997977,"Private and sunny 2.5 Br apartment in Astoria, NY",151164426,Adam,Queens,Ditmars Steinway,40.78344664,-73.91121913,Entire home/apt,200,3,0,,,1,216
14968955,Luxe King+Private Bath comfy quiet Astoroia,25144266,Therina,Queens,Ditmars Steinway,40.77085698,-73.90539724,Private room,80,1,9,9/24/17,1.14,4,25
19950498,Cozy apartment in one of the best areas of Queens.,141405886,Maria,Queens,Ditmars Steinway,40.77585454,-73.91094043,Entire home/apt,200,3,2,9/18/17,2,1,313
11301089,Entire Apartment (Furnished) 2br in Astoria !,1448564,Burak,Queens,Ditmars Steinway,40.78080163,-73.91024629,Entire home/apt,199,5,1,4/11/17,0.17,2,364
7631233,Room at astoria,22994376,Yoshihisa,Queens,Ditmars Steinway,40.78261274,-73.91451975,Private room,55,1,0,,,1,0
2519770,2-3 bedroom apt in Astoria NYC,12899510,Solange,Queens,Ditmars Steinway,40.77803718,-73.91623114,Entire home/apt,150,1,1,8/28/14,0.03,1,0
20714304,Awesome Cozy Room in The Heart of Astoria!,118751485,Simon,Queens,Ditmars Steinway,40.77786492,-73.90819091,Private room,79,2,1,9/19/17,1,1,88
11434386,Cozy Bedroom,42528376,Joseph,Queens,Ditmars Steinway,40.7716298,-73.91587246,Private room,45,2,14,9/2/17,0.83,1,2
20871796,Cozy studio,149847611,Todd,Queens,Ditmars Steinway,40.78021603,-73.91003385,Entire home/apt,90,1,1,9/24/17,1,1,176
10360144,Live like a local in NYC! Next to Ditmars subway,16823940,Malissa,Queens,Ditmars Steinway,40.77672906,-73.90992545,Private room,40,2,3,8/12/17,0.17,2,269
20190640,20 mins to Times Square & 10 Mins LGA,139867352,Oscar,Queens,Ditmars Steinway,40.78165513,-73.90833878,Private room,59,1,11,9/28/17,5.41,2,353
14587187,Big 2 bedroom Astoria close to train,90439931,Jasmine,Queens,Ditmars Steinway,40.77456002,-73.90997402,Entire home/apt,150,3,0,,,1,358
15899509,Beautiful 1 bedroom apartment,83542652,Roger,Queens,Ditmars Steinway,40.78090104,-73.91837259,Entire home/apt,89,3,20,10/1/17,2.01,1,53
10526346,Large Room in Astoria NEXT to PARK!,54275909,Melissa,Queens,Ditmars Steinway,40.77922771,-73.92169276,Private room,34,3,2,2/20/16,0.1,1,0
7254864,Gorgeous and cozy apartment 15min Manhattan,12031192,Marion,Queens,Ditmars Steinway,40.77925292,-73.91068171,Entire home/apt,150,1,2,12/30/16,0.14,1,0
10928176,Ditmars Charm,56652755,Seham,Queens,Ditmars Steinway,40.77197781,-73.90952427,Entire home/apt,175,3,0,,,1,0
6472275,"Cozy,newly furnished room inAstoria",24597265,Freda,Queens,Ditmars Steinway,40.77076609,-73.90903113,Private room,45,6,4,6/15/17,0.16,8,324
4377221,Charming Room 20 Mins to Manhattan,20828747,Katerina,Queens,Ditmars Steinway,40.77808998,-73.90888328,Private room,45,2,95,9/18/17,2.69,8,228
20674761,Big bedroom!,147930315,Nick,Queens,Ditmars Steinway,40.76886237,-73.89091734,Private room,75,1,3,9/27/17,3,1,84
17368490,Amazing 2 Bed. Apartment - 10 Min. to Manhattan!,117371089,Dilan,Queens,Ditmars Steinway,40.77521701,-73.91155117,Entire home/apt,140,1,16,9/24/17,2.36,1,339
4392596,Great room in a 2 BD apartment,20820856,Waleed,Queens,Ditmars Steinway,40.77431299,-73.9114036,Private room,65,1,0,,,1,0
18549222,Private room in Astoria  close to Manhattan,128768798,Ruth,Queens,Ditmars Steinway,40.77948715,-73.91015016,Private room,80,2,15,9/27/17,3.31,1,160
20122292,"One BR in a 2 BR apt, cosy & well located-Astoria",38050027,Antonio,Queens,Ditmars Steinway,40.77523407,-73.90714175,Private room,112,1,1,8/24/17,0.75,1,3
15008306,Home Under Hellsgate Bridge,94555153,Lucy,Queens,Ditmars Steinway,40.78268837,-73.91787995,Private room,87,1,2,7/23/17,0.72,2,0
19784492,Great space in a house 20 min. from Manhattan!,14723643,Alisa,Queens,Ditmars Steinway,40.77122355,-73.91740383,Private room,60,1,0,,,1,93
19207857,Modern 2 Bed. - 10 Min. to Midtown Manhattan!,132714678,Ed,Queens,Ditmars Steinway,40.77634357,-73.91111699,Entire home/apt,130,1,7,8/27/17,2.28,2,333
18946376,"Small cute bedroom in Astoria, Queens/LIC",22899212,Carmen,Queens,Ditmars Steinway,40.77204469,-73.90868436,Private room,35,26,1,9/2/17,1,1,0
4772857,"lrge queen size room,newly decorat",24597265,Freda,Queens,Ditmars Steinway,40.77075329,-73.91017896,Private room,60,6,3,6/18/17,0.18,8,321
18275045,Cozy Room in a 2 Bd Apt in the Heart of Astoria,35905947,Olesya,Queens,Ditmars Steinway,40.77747609,-73.90892044,Private room,57,21,0,,,1,0
13331735,Discover  NYC from Astoria Queens,75443454,Ana,Queens,Ditmars Steinway,40.77282169,-73.91970457,Private room,100,3,22,9/24/17,1.44,2,347
13575399,Astoria blvd clean cute resting haven,4983814,Katelynn,Queens,Ditmars Steinway,40.77358125,-73.91831994,Private room,50,1,0,,,2,0
6398715,Studio!Astoria station in 3min!,31762883,Daisuke,Queens,Ditmars Steinway,40.77914841,-73.909022,Private room,44,7,0,,,1,0
13491197,"Beautiful, sun filled room in newly renovated apt",10645488,Su,Queens,Ditmars Steinway,40.77781045,-73.90756064,Private room,85,1,5,7/31/17,0.41,1,283
14756273,"Large private room in Astoria, 20 mins to mid-town",68276808,Summer,Queens,Ditmars Steinway,40.77391612,-73.91678243,Private room,60,2,0,,,1,16
19477007,"Modern, Spacious Bedroom Near LGA- King Bed",17198463,Ana,Queens,Ditmars Steinway,40.76904103,-73.89291409,Private room,80,1,8,9/24/17,2.7,1,85
7679091,Cozy home 5 mins from LGA AIRPORT,40326136,Kamal,Queens,Ditmars Steinway,40.77287276,-73.8905097,Private room,159,1,25,9/3/17,0.97,1,365
7418871,"1 Bdrm available close to LGA.  Shower/tub, Cat.",38862694,Sarah,Queens,Ditmars Steinway,40.77170306,-73.9065005,Private room,65,1,14,9/17/17,1.11,2,343
18476483,Great room minutes to Manhattan,22122740,Will,Queens,Ditmars Steinway,40.77168215,-73.90784015,Private room,34,21,0,,,1,156
20151455,CHARMING ROOM,139357580,Shuly,Queens,Ditmars Steinway,40.77145491,-73.91163781,Private room,40,1,13,9/13/17,6.39,8,315
9452237,2 BED STEP TO THE TRAIN,5855145,Edward,Queens,Ditmars Steinway,40.7758795,-73.90781576,Entire home/apt,130,1,27,6/30/17,1.22,2,336
13492036,"Beautiful 1 bedroom in Astoria,Queens",77325010,Petros,Queens,Ditmars Steinway,40.77231318,-73.90793318,Entire home/apt,75,4,1,7/31/16,0.07,1,0
2440357,"New construction, close to subway",12474702,Andrew,Queens,Ditmars Steinway,40.776689,-73.91150613,Entire home/apt,180,5,1,12/16/15,0.05,1,0
17382781,Spacious beautiful bedroom:),73541674,Dioni,Queens,Ditmars Steinway,40.7736718,-73.91516951,Private room,70,3,0,,,2,169
5127571,Beautiful sunny bedroom in Astoria,26506104,Angeliki,Queens,Ditmars Steinway,40.77362743,-73.90049839,Private room,36,15,0,,,1,0
16179103,1 bedroom in Astoria near Manhattan,24825969,Tony,Queens,Ditmars Steinway,40.78296556,-73.912583,Private room,60,1,0,,,3,0
4211510,Simple Astoria Room 20minToManhattan,1172202,Funda,Queens,Ditmars Steinway,40.7698941,-73.90735403,Private room,50,1,67,9/5/17,1.92,6,120
4934421,Awesome NYC,25422856,Gerard,Queens,Ditmars Steinway,40.77377028,-73.90801283,Private room,65,1,4,12/23/15,0.14,1,365
6441936,Clean and Comfortable Home 15 mins to Central Park,15379575,Jim,Queens,Ditmars Steinway,40.77707358,-73.90710192,Private room,84,2,22,8/1/17,0.87,1,67
2051499,Elegant 1 Bed.-10 min to Manhattan,10513282,Daniel,Queens,Ditmars Steinway,40.77568856,-73.91275062,Entire home/apt,115,1,29,9/17/17,0.63,1,353
5328633,Home in New York Check Fall and Winter Prices,24323308,Ricardo,Queens,Ditmars Steinway,40.77530359,-73.902732,Entire home/apt,225,3,79,9/22/17,2.84,1,284
20927619,PRIVATE CLEAN ROOM,139357580,Shuly,Queens,Ditmars Steinway,40.77511123,-73.90637102,Private room,60,1,0,,,8,354
4645841,"Beautiful 1BDR, 20min to Times Sq",19516856,Andrew & Daniela,Queens,Ditmars Steinway,40.77741802,-73.91561388,Entire home/apt,129,12,9,7/14/17,0.27,1,92
11098211,Lovely warm place in New York City,57635479,Zack,Queens,Ditmars Steinway,40.7773992,-73.91078851,Entire home/apt,165,3,5,9/20/17,0.48,1,345
20928742,Room Astoria,54997726,Caterina,Queens,Ditmars Steinway,40.77166067,-73.90962479,Private room,49,1,0,,,1,89
876792,Private Room 15 min. to Manhattan,1488404,Tim,Queens,Ditmars Steinway,40.77093144,-73.91725775,Private room,69,1,67,9/10/17,1.22,1,248
11624694,Newly Furnished 1BD Near Train!,2666654,Frankie,Queens,Ditmars Steinway,40.77535647,-73.90781307,Entire home/apt,120,1,128,9/30/17,7.08,1,308
20996996,Private Bedroom and Bath,785283,Melinda,Queens,Ditmars Steinway,40.7761774,-73.91741153,Private room,75,1,0,,,2,288
3499016,House 1 Bed $100/ night per person,17618198,Edvaldo,Queens,Ditmars Steinway,40.77901671,-73.90767672,Private room,100,2,2,9/22/14,0.05,1,365
5728500,Cozy Private Room in Astoria,23185328,Deniz,Queens,Ditmars Steinway,40.77842454,-73.9099364,Private room,58,1,34,1/23/17,1.12,2,154
3835681,"Great location, new lower rates!!!",3339701,Angelo,Queens,Ditmars Steinway,40.77478202,-73.91912899,Private room,50,1,98,9/7/17,2.61,4,334
12814991,Skyline Views & Rooftop Deck!,34034047,Cory,Queens,Ditmars Steinway,40.77423452,-73.90714958,Entire home/apt,159,1,15,9/21/17,0.91,1,1
8096877,Homey Brand New Room,42757222,Khloe,Queens,Ditmars Steinway,40.77374424,-73.90771348,Private room,89,2,0,,,1,177
20942352,Private Room in Astoria minutes to NYC,150565606,Mayra,Queens,Ditmars Steinway,40.77863548,-73.91444711,Private room,47,2,2,10/1/17,2,1,182
8507328,"MIDTOWN, MANHATTAN,COLONIAL,ROOM",44213272,Gema,Queens,Ditmars Steinway,40.77259195,-73.91459012,Private room,50,1,57,9/25/17,2.31,5,350
